일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/01/26","86700","-2700","-3.02","88800","89200","86500","33178936","2899318433100","517580147085000","5969782550"
"2021/01/25","89400","2600","3.00","87000","89900","86300","27258534","2410066876846","533698559970000","5969782550"
"2021/01/22","86800","-1300","-1.48","89000","89700","86800","30861661","2717635251520","518177125340000","5969782550"
"2021/01/21","88100","900","1.03","87500","88600","86500","25318011","2211209788500","525937842655000","5969782550"
"2021/01/20","87200","200","0.23","89000","89000","86500","25211127","2205739149700","520565038360000","5969782550"
"2021/01/19","87000","2000","2.35","84500","88000","83600","39895044","3441342754500","519371081850000","5969782550"
"2021/01/18","85000","-3000","-3.41","86600","87300","84100","43227951","3715775992600","507431516750000","5969782550"
"2021/01/15","88000","-1700","-1.90","89800","91800","88000","33431809","2975231937664","525340864400000","5969782550"
"2021/01/14","89700","0","0.00","88700","90000","88700","26393970","2356661622700","535489494735000","5969782550"
"2021/01/13","89700","-900","-0.99","89800","91200","89100","36068848","3244066562850","535489494735000","5969782550"
"2021/01/12","90600","-400","-0.44","90300","91400","87800","48682416","4362546108950","540862299030000","5969782550"
"2021/01/11","91000","2200","2.48","90000","96800","89500","90306177","8379237727064","543250212050000","5969782550"
"2021/01/08","88800","5900","7.12","83300","90000","83000","59013307","5083939899952","530116690440000","5969782550"
"2021/01/07","82900","700","0.85","82800","84200","82700","32644642","2726112459660","494894973395000","5969782550"
"2021/01/06","82200","-1700","-2.03","83300","84500","82100","42089013","3506903681680","490716125610000","5969782550"
"2021/01/05","83900","900","1.08","81600","83900","81600","35335669","2915618322800","500864755945000","5969782550"
"2021/01/04","83000","2000","2.47","81000","84400","80200","38655276","3185356823460","495491951650000","5969782550"
