종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"000430","대원강업","KOSPI",,"4405","30","0.69","4355","4405","4305","67693","294874615","273110000000","62000000"
"048910","대원미디어","KOSDAQ","우량기업부","8530","-20","-0.23","8550","8640","8420","18778","160119970","107424198840","12578946"
"005710","대원산업","KOSDAQ","우량기업부","6070","0","0.00","6070","6070","5990","2672","16094960","120225600000","20037600"
"006340","대원전선","KOSPI",,"3205","20","0.63","3140","3210","3060","1822998","5719032500","239933360000","74979175"
"006345","대원전선우","KOSPI",,"4460","140","3.24","4290","4460","4250","40911","178374470","11690552000","2621200"
"003220","대원제약","KOSPI",,"14910","-160","-1.06","15050","15100","14780","247176","3683862940","334383791030","22396771"
"024890","대원화성","KOSPI",,"1310","5","0.38","1300","1320","1289","13901","18073038","53830143360","41249152"
"290380","대유","KOSDAQ","관리종목(소속부없음)","2300","0","0.00","0","0","0","0","0","56841307600","24713612"
"002880","대유에이텍","KOSPI",,"1092","10","0.92","1082","1096","1078","14926","16192410","51044469840","46744020"
"000300","대유플러스","KOSPI",,"241","0","0.00","0","0","0","0","0","30475633069","126454909"
"120240","대정화금","KOSDAQ","우량기업부","15200","30","0.20","15020","15370","15020","5543","84336980","109509654930","7190391"
"003310","대주산업","KOSDAQ","우량기업부","1429","-21","-1.45","1424","1450","1424","77901","111247406","50752629900","35392350"
"114920","대주이엔티","KONEX","일반기업부","2695","-85","-3.06","2795","2795","2405","4","10300","9350302500","3469500"
"078600","대주전자재료","KOSDAQ","우량기업부","107700","-1400","-1.28","108300","109700","106200","137962","14872227800","1668807925400","15480593"
"012800","대창","KOSPI",,"1339","19","1.44","1299","1339","1281","339914","444125852","120214318181","91140499"
"015230","대창단조","KOSPI",,"5170","20","0.39","5150","5240","5100","45598","235646810","149718485200","28572230"
"096350","대창솔루션","KOSDAQ","벤처기업부","382","7","1.87","379","384","371","317218","119349615","62556705438","163761009"
"140520","대창스틸","KOSDAQ","우량기업부","2305","-5","-0.22","2310","2310","2285","1461","3354870","48656805115","21109243"
"131220","대한과학","KOSDAQ","벤처기업부","5100","-40","-0.78","5130","5130","5040","60101","305999140","37868809200","7454490"
"010170","대한광통신","KOSDAQ","중견기업부","1013","3","0.30","1024","1024","1003","76398","77167065","75479811158","74511166"
"054670","대한뉴팜","KOSDAQ","우량기업부","9070","220","2.49","8970","9220","8870","63472","576055600","130199124400","14354920"
"001070","대한방직","KOSPI",,"5990","40","0.67","5920","6020","5900","9442","56452390","31747000000","5300000"
"023910","대한약품","KOSDAQ","우량기업부","26250","-350","-1.32","26500","26600","26150","13925","365689600","157500000000","6000000"
"006650","대한유화","KOSPI",,"105300","300","0.29","105700","106800","103600","17664","1855769300","683800000000","6500000"
"001440","대한전선","KOSPI",,"12460","10","0.08","12450","12500","12170","854306","10530691780","2321268885000","186447300"
"084010","대한제강","KOSPI",,"11530","100","0.87","11430","11550","11430","8019","92207430","270436285350","23414397"
"001790","대한제당","KOSPI",,"3030","20","0.66","3015","3050","2985","212724","641885880","270883671600","89696580"
"001795","대한제당우","KOSPI",,"2650","35","1.34","2705","2705","2600","38121","101158205","16984831200","6482760"
"001130","대한제분","KOSPI",,"142600","-400","-0.28","141700","142600","139800","1425","200558200","238628000000","1690000"
"003490","대한항공","KOSPI",,"22450","-200","-0.88","22600","22650","22250","542063","12132888150","8248142806400","368220661"
"003495","대한항공우","KOSPI",,"23400","0","0.00","23600","23600","23250","447","10513750","25992579600","1110794"
"005880","대한해운","KOSPI",,"1909","-11","-0.57","1922","1927","1891","1938706","3700111734","609948126060","319177460"
"003830","대한화섬","KOSPI",,"99800","-600","-0.60","100400","100400","99800","37","3696900","133198400000","1328000"
"016090","대현","KOSPI",,"1877","7","0.37","1883","1883","1862","9611","17945444","82852202010","44282310"
